Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
175,Auto Geofence,1,Unsigned,0,1,-,Eventual I/O elements
250,Trip,1,Unsigned,0,1,-,Eventual I/O elements
255,Over Speeding,1,Unsigned,0,255,km/h,Eventual I/O elements
257,Crash trace data,Variable,HEX,0,1200,-,Eventual I/O elements
285,Blood alcohol content,2,Unsigned,0,9999,-,Eventual I/O elements
251,Idling,1,Unsigned,0,1,-,Eventual I/O elements
253,Green driving type,1,Unsigned,1,3,-,Eventual I/O elements
246,Towing,1,Unsigned,0,1,-,Eventual I/O elements
252,Unplug,1,Unsigned,0,1,-,Eventual I/O elements
247,Crash detection,1,Unsigned,1,6,-,Eventual I/O elements
248,Immobilizer,1,Unsigned,0,2,-,Eventual I/O elements
254,Green Driving Value,1,Unsigned,0,255,G or rad,Eventual I/O elements
249,Jamming,1,Unsigned,0,1,-,Eventual I/O elements
14,ICCID2,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,Eventual I/O elements
243,Green driving event duration,2,Unsigned,0,65535,ms,Eventual I/O elements
236,Alarm,1,Unsigned,0,1,-,Eventual I/O elements
258,EcoMaximum,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,Eventual I/O elements
259,EcoAverage,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,Eventual I/O elements
260,EcoDuration,2,Unsigned,0,65535,ms,Eventual I/O elements
283,Driving State,1,Unsigned,0,3,-,Eventual I/O elements
284,Driving Records,2,Unsigned,0,65535,-,Eventual I/O elements
317,Crash event counter,1,Unsigned,0,255,-,Eventual I/O elements
318,GNSS Jamming,1,Unsigned,0,2,-,Eventual I/O elements
391,Private mode,1,Unsigned,0,255,-,Eventual I/O elements
449,Ignition On Counter,4,Unsigned,0,2147483647,s,Eventual I/O elements
1412,Motorcycle Fall Detection,1,Unsigned,0,0,-,Eventual I/O elements
256,VIN,17,ASCII,0,0xff,-,OBD elements
30,Number of DTC,1,Unsigned,0,255,-,OBD elements
31,Engine Load,1,Unsigned,0,100,%,OBD elements
32,Coolant Temperature,1,Signed,-128,127,°C,OBD elements
33,Short Fuel Trim,1,Signed,-100,99,%,OBD elements
34,Fuel pressure,2,Unsigned,0,765,kPa,OBD elements
35,Intake MAP,1,Unsigned,0,255,kPa,OBD elements
36,Engine RPM,2,Unsigned,0,16384,rpm,OBD elements
37,Vehicle Speed,1,Unsigned,0,255,km/h,OBD elements
38,Timing Advance,1,Signed,-64,64,°,OBD elements
39,Intake Air Temperature,1,Signed,-128,127,°C,OBD elements
40,MAF,2,Unsigned,0,65535,g/sec,OBD elements
41,Throttle Position,1,Unsigned,0,100,%,OBD elements
42,Runtime since engine start,2,Unsigned,0,65535,s,OBD elements
43,Distance Traveled MIL On,2,Unsigned,0,65535,km,OBD elements
44,Relative Fuel Rail Pressure,2,Unsigned,0,5178,kPa,OBD elements
45,Direct Fuel Rail Pressure,2,Unsigned,0,65535,kPa,OBD elements
46,Commanded EGR,1,Unsigned,0,100,%,OBD elements
47,EGR Error,1,Signed,-100,100,%,OBD elements
48,Fuel Level,1,Unsigned,0,100,%,OBD elements
49,Distance Since Codes Clear,2,Unsigned,0,65535,km,OBD elements
50,Barometic Pressure,1,Unsigned,0,255,kPa,OBD elements
51,Control Module Voltage,2,Unsigned,0,65535,V,OBD elements
52,Absolute Load Value,2,Unsigned,0,25700,%,OBD elements
759,Fuel Type,1,Unsigned,0,255,-,OBD elements
53,Ambient Air Temperature,1,Signed,-128,127,°C,OBD elements
54,Time Run With MIL On,2,Unsigned,0,65535,min,OBD elements
55,Time Since Codes Cleared,2,Unsigned,0,65535,min,OBD elements
56,Absolute Fuel Rail Pressure,2,Unsigned,0,65535,kPa,OBD elements
57,Hybrid battery pack life,1,Unsigned,0,100,%,OBD elements
58,Engine Oil Temperature,1,Unsigned,0,215,°C,OBD elements
59,Fuel injection timing,2,Signed,-21000,30200,°,OBD elements
540,Throttle position group,1,Unsigned,0,100,%,OBD elements
541,Commanded Equivalence R,1,Unsigned,0,200,-,OBD elements
542,Intake MAP 2 bytes,2,Unsigned,0,2048,kPa,OBD elements
543,Hybrid System Voltage,2,Unsigned,0,1024,V,OBD elements
544,Hybrid System Current,2,Signed,-3277,3277,A,OBD elements
281,Fault Codes,variable,ASCII,0,128,-,OBD elements
60,Fuel Rate,2,Unsigned,0,32767,L/h,OBD elements
389,OBD OEM Total Mileage,4,Unsigned,0,0xffffffff,km,OBD OEM elements
390,OBD OEM Fuel Level,4,Unsigned,0,0xffffffff,l,OBD OEM elements
402,OEM Distance Until Service,4,Unsigned,0,0xffffffff,km,OBD OEM elements
410,OEM Battery charge state,1,Unsigned,0,1,-,OBD OEM elements
411,OEM Battery charge level,1,Unsigned,0,100,%,OBD OEM elements
755,OEM Remaining distance,2,Unsigned,0,65535,km,OBD OEM elements
1151,OEM Battery State Of Health,2,Unsigned,0,65535,%,OBD OEM elements
1152,OEM Battery Temperature,2,Signed,-32768,32767,°C,OBD OEM elements
385,Beacon,Variable,HEX,0,1024,-,Permanent I/O elements
548,Advanced BLE Beacon data,1024,HEX,0,1024,-,Eventual I/O elements
25,BLE Temperature #1,2,Signed,-4000,12500,°C,Bluetooth Low Energy
26,BLE Temperature #2,2,Signed,-4000,12500,°C,Bluetooth Low Energy
27,BLE Temperature #3,2,Signed,-4000,12500,°C,Bluetooth Low Energy
